# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10994
#@/user_id	d6af5fc8-5554-4ac5-acd2-c29a134afb1d
aa[ek 	阿	c=1 d=1 t=6286
fh[dw ui[yg 	方式	c=4 d=1.00033 t=6498
fh[fw 	放	c=3 d=1.02665 t=4120
fh[fw jx[ry 	放假	c=1 d=1 t=7460
fh[fw kd[ac 	放開	c=2 d=1.01094 t=4979
fh[fw qi[wc 	放棄	c=1 d=1 t=3777
fh[fw uh[la qu[ts 	放上去	c=1 d=1 t=10291
fh[fw uv[ln 	放水	c=1 d=1 t=8440
fh[fw xb[dd 	放心	c=1 d=1 t=10213
fh[fw zd[ut 	放在	c=4 d=1.00181 t=8861
fh[hf dd[rr 	房貸	c=1 d=1 t=5027
fh[hf ds[ad 	房東	c=1 d=1 t=7619
fh[hf jx[rl 	房價	c=1 d=1 t=7459
fh[hf zi[va 	房子	c=1 d=1 t=2781
fh[hf zu[hq 	房租	c=1 d=1 t=5025
fh[yf wf[mk 	訪問	c=1 d=1 t=4621
fh[yf wf[mk ll[dl 	訪問量	c=1 d=1 t=7879
fj[cv ww[kw 	範圍	c=4 d=1.36604 t=6086
fj[px 	翻	c=1 d=1 t=7781
fj[px bw[rk 	翻倍	c=1 d=1 t=1881
fj[px ie[al 	翻車	c=1 d=1 t=953
fj[py 	反	c=0 d=0.1 t=2360
fj[py er[al 	反而	c=1 d=1 t=4457
fj[py go[zc ld[an 	反過來	c=1 d=1 t=7502
fj[py kv[ur 	反饋	c=6 d=1.21331 t=10933
fj[py la[tl ji[tj 	反垃圾	c=1 d=1 t=2361
fj[py ue[uc 	反射	c=1 d=1 t=6905
fj[py uz[pl 	反手	c=1 d=1 t=8469
fj[py vg[av 	反正	c=2 d=1.03763 t=3493
fj[uy 	飯	c=7 d=1.00002 t=7744
fj[zy hv[kk 	返回	c=5 d=3.53237 t=5309
fu[an 	夫	c=1 d=1 t=5526
fu[dr zd[ui 	負載	c=13 d=2.91521 t=9911
fu[dr zd[ui jy[td hg[ii 	負載均衡	c=1 d=1 t=1471
fu[dr ze[fr 	負責	c=1 d=1 t=6092
fu[dr ze[fr rf[pn 	負責人	c=3 d=1.37748 t=4430
fu[ec 	附	c=2 d=1 t=6148
fu[ec jm[rn 	附件	c=3 d=1.99501 t=7281
fu[fw yj[ii 	敷衍	c=1 d=1 t=7939
fu[if vu[ql 	輔助	c=2 d=1 t=6921
fu[if vu[ql ma[um 	輔助碼	c=6 d=1.0722 t=2945
fu[oy wu[wl 	服務	c=27 d=1.15509 t=10631
fu[oy wu[wl ii[dy 	服務池	c=3 d=1 t=9391
fu[oy wu[wl qi[kk 	服務器	c=19 d=2.93796 t=8089
fu[pt 	福	c=2 d=1 t=4930
fu[pt li[hd 	福利	c=1 d=1 t=784
fu[pw pj[vm 	複盤	c=2 d=1.88692 t=8706
fu[vc hc[kv 	符號	c=3 d=1 t=10198
fu[vc he[rk 	符合	c=1 d=1 t=10230
fu[xw gd[ym 	覆蓋	c=1 d=1 t=7394
fw[gd 	廢	c=1 d=1 t=4948
fw[la 	非	c=1 d=1 t=9182
fw[la ih[xj 	非常	c=3 d=1.04438 t=8904
fw[vd 	飛	c=1 d=1 t=5795
fz[bk 	否	c=1 d=1 t=7224
ga[kv 	噶	c=1 d=1 t=2520
gc[fk 	搞	c=7 d=1.97045 t=10776
gc[fk de[ic 	搞得	c=1 d=1 t=609
gc[fk dk[br 	搞定	c=2 d=1.00312 t=3070
gc[nk su[yi 	告訴	c=2 d=1 t=6896
gc[nk vi[uk 	告知	c=1 d=1 t=7288
gc[wk 	高	c=19 d=1.97879 t=9889
gc[wk fg[ef 	高峯	c=1 d=1 t=5444
